position,loop,layers,estimator_a,estimator_b,n_items,n_layers,agreement,ci_low,ci_high
-1,1,41-48,Logit lens,Logit lens,148,8,1.0,1.0,1.000000000000001
-1,1,41-48,Logit lens,Actual loop exit,148,8,0.45861486486486486,0.4070945945945945,0.5118243243243241
-1,1,41-48,Logit lens,Actual final exit,148,8,0.23310810810810811,0.18496621621621626,0.2837837837837838
-1,1,41-48,Actual loop exit,Local J-Lens,148,8,0.33614864864864863,0.29898648648648657,0.375
-1,1,41-48,Actual loop exit,Final J-Lens,148,8,0.0,0.0,0.0
-1,1,41-48,Actual loop exit,Logit lens,148,8,0.45861486486486486,0.4070945945945945,0.5118243243243241
-1,1,41-48,Actual loop exit,Actual loop exit,148,8,1.0,1.0,1.000000000000001
-1,1,41-48,Actual loop exit,Actual final exit,148,8,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,41-48,Actual final exit,Local J-Lens,148,8,0.16807432432432431,0.13597972972972974,0.2010135135135136
-1,1,41-48,Actual final exit,Final J-Lens,148,8,0.0033783783783783786,0.0,0.009290540540540541
-1,1,41-48,Actual final exit,Logit lens,148,8,0.23310810810810811,0.18496621621621626,0.2837837837837838
-1,1,41-48,Actual final exit,Actual loop exit,148,8,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,41-48,Actual final exit,Actual final exit,148,8,1.0,1.0,1.000000000000001
-1,1,48,Local J-Lens,Local J-Lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Local J-Lens,Final J-Lens,148,1,0.0,0.0,0.0
-1,1,48,Local J-Lens,Logit lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Local J-Lens,Actual loop exit,148,1,1.0,1.0,1.000000000000001
-1,1,48,Local J-Lens,Actual final exit,148,1,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,48,Final J-Lens,Local J-Lens,148,1,0.0,0.0,0.0
-1,1,48,Final J-Lens,Final J-Lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Final J-Lens,Logit lens,148,1,0.0,0.0,0.0
-1,1,48,Final J-Lens,Actual loop exit,148,1,0.0,0.0,0.0
-1,1,48,Final J-Lens,Actual final exit,148,1,0.013513513513513514,0.0,0.033783783783783786
-1,1,48,Logit lens,Local J-Lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Logit lens,Final J-Lens,148,1,0.0,0.0,0.0
-1,1,48,Logit lens,Logit lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Logit lens,Actual loop exit,148,1,1.0,1.0,1.000000000000001
-1,1,48,Logit lens,Actual final exit,148,1,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,48,Actual loop exit,Local J-Lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Actual loop exit,Final J-Lens,148,1,0.0,0.0,0.0
-1,1,48,Actual loop exit,Logit lens,148,1,1.0,1.0,1.000000000000001
-1,1,48,Actual loop exit,Actual loop exit,148,1,1.0,1.0,1.000000000000001
-1,1,48,Actual loop exit,Actual final exit,148,1,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,48,Actual final exit,Local J-Lens,148,1,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,48,Actual final exit,Final J-Lens,148,1,0.013513513513513514,0.0,0.033783783783783786
-1,1,48,Actual final exit,Logit lens,148,1,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,48,Actual final exit,Actual loop exit,148,1,0.4527027027027027,0.3716216216216215,0.5337837837837837
-1,1,48,Actual final exit,Actual final exit,148,1,1.0,1.0,1.000000000000001
-1,2,1-47,Local J-Lens,Local J-Lens,148,47,1.0,1.0,1.000000000000001
-1,2,1-47,Local J-Lens,Final J-Lens,148,47,0.05563542265669923,0.039677975848188614,0.07374928119608974
-1,2,1-47,Local J-Lens,Logit lens,148,47,0.11112708453133993,0.0999137435307648,0.12334675100632551
-1,2,1-47,Local J-Lens,Actual loop exit,148,47,0.06986774008050602,0.05391029327199535,0.0879815986198965
-1,2,1-47,Local J-Lens,Actual final exit,148,47,0.05793559516963774,0.04269695227142034,0.07561817136285218
-1,2,1-47,Final J-Lens,Local J-Lens,148,47,0.05563542265669923,0.039677975848188614,0.07374928119608974
-1,2,1-47,Final J-Lens,Final J-Lens,148,47,1.0,1.0,1.000000000000001
-1,2,1-47,Final J-Lens,Logit lens,148,47,0.013801035077630822,0.0069005175388154125,0.02213916043703278
-1,2,1-47,Final J-Lens,Actual loop exit,148,47,0.038384128809660724,0.023001725129384705,0.055635422656699254
-1,2,1-47,Final J-Lens,Actual final exit,148,47,0.03536515238642898,0.02055779183438758,0.05218516388729154
-1,2,1-47,Logit lens,Local J-Lens,148,47,0.11112708453133993,0.0999137435307648,0.12334675100632551
-1,2,1-47,Logit lens,Final J-Lens,148,47,0.013801035077630822,0.0069005175388154125,0.02213916043703278
-1,2,1-47,Logit lens,Logit lens,148,47,1.0,1.0,1.000000000000001
-1,2,1-47,Logit lens,Actual loop exit,148,47,0.12478435882691202,0.10293271995399651,0.14879240943070726
-1,2,1-47,Logit lens,Actual final exit,148,47,0.10034502587694076,0.07849338700402529,0.12478435882691201
-1,2,1-47,Actual loop exit,Local J-Lens,148,47,0.06986774008050602,0.05391029327199535,0.0879815986198965
-1,2,1-47,Actual loop exit,Final J-Lens,148,47,0.038384128809660724,0.023001725129384705,0.055635422656699254
-1,2,1-47,Actual loop exit,Logit lens,148,47,0.12478435882691202,0.10293271995399651,0.14879240943070726
-1,2,1-47,Actual loop exit,Actual loop exit,148,47,1.0,1.0,1.000000000000001
-1,2,1-47,Actual loop exit,Actual final exit,148,47,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,2,1-47,Actual final exit,Local J-Lens,148,47,0.05793559516963774,0.04269695227142034,0.07561817136285218
-1,2,1-47,Actual final exit,Final J-Lens,148,47,0.03536515238642898,0.02055779183438758,0.05218516388729154
-1,2,1-47,Actual final exit,Logit lens,148,47,0.10034502587694076,0.07849338700402529,0.12478435882691201
-1,2,1-47,Actual final exit,Actual loop exit,148,47,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,2,1-47,Actual final exit,Actual final exit,148,47,1.0,1.0,1.000000000000001
-1,2,41-47,Local J-Lens,Local J-Lens,148,7,1.0,1.0,1.000000000000001
-1,2,41-47,Local J-Lens,Final J-Lens,148,7,0.03571428571428571,0.017374517374517374,0.05888030888030888
-1,2,41-47,Local J-Lens,Logit lens,148,7,0.5038610038610041,0.4623552123552119,0.5463320463320459
-1,2,41-47,Local J-Lens,Actual loop exit,148,7,0.3185328185328183,0.271235521235521,0.3677606177606175
-1,2,41-47,Local J-Lens,Actual final exit,148,7,0.2635135135135134,0.2162162162162161,0.31274131274131256
-1,2,41-47,Final J-Lens,Local J-Lens,148,7,0.03571428571428571,0.017374517374517374,0.05888030888030888
-1,2,41-47,Final J-Lens,Final J-Lens,148,7,1.0,1.0,1.000000000000001
-1,2,41-47,Final J-Lens,Logit lens,148,7,0.048262548262548256,0.02413127413127413,0.07722007722007722
-1,2,41-47,Final J-Lens,Actual loop exit,148,7,0.06177606177606177,0.03185328185328185,0.09652509652509654
-1,2,41-47,Final J-Lens,Actual final exit,148,7,0.058880308880308874,0.028957528957528955,0.09362934362934364
