position,loop,layers,lens,target,n_items,rank_kl_retained,top1_agreement,top1_ci_low,top1_ci_high,actual_token_hit10,actual_token_hit10_ci_low,actual_token_hit10_ci_high,actual_token_hit100,actual_token_hit100_ci_low,actual_token_hit100_ci_high,actual_token_mrr,actual_token_mrr_ci_low,actual_token_mrr_ci_high,actual_token_mean_log10_rank,actual_token_mean_log10_rank_ci_low,actual_token_mean_log10_rank_ci_high,kl_lens_to_actual,kl_lens_to_actual_ci_low,kl_lens_to_actual_ci_high
-1,1,1-47,Local J-Lens,actual_current_exit,148,True,0.044709603220241506,0.03550891316848762,0.0547728579643473,0.11400230017251292,0.09689476710753306,0.13197239792984472,0.24798734905117886,0.2216755319148936,0.27530189764232316,0.06823003737224127,0.05704863819404751,0.08012184487417132,2.838624958890425,2.7578054666482332,2.91866606837069,3.1848483085632324,2.9460027098454336,3.4428533051666377
-1,1,1-47,Local J-Lens,actual_final_exit,148,True,0.023145485911443355,0.016388729154686605,0.03105232892466934,0.0948821161587119,0.07763082231167338,0.11371477860839561,0.23591144335825182,0.2064404830362277,0.2665324899367453,0.047448705267096575,0.03891119116389701,0.057109062745800805,2.92938615770346,2.8381107770525347,3.0200767259554504,9.214988708496094,8.815276673758353,9.612554352186821
-1,1,1-47,Final J-Lens,actual_current_exit,148,False,0.0,0.0,0.0,,,,,,,,,,,,,,,
-1,1,1-47,Final J-Lens,actual_final_exit,148,True,0.0002875215641173088,0.0,0.0008625646923519265,0.004456584243818286,0.000718803910293272,0.0097757331799885,0.029470960322024155,0.016820011500862566,0.04442208165612421,0.0024527982267386885,0.0012151239138699396,0.004047913536137608,3.6965274392621423,3.627391077890403,3.765333430211603,11.515164375305176,11.238435198809649,11.788678923007605
-1,1,1-47,Logit lens,actual_current_exit,148,False,0.09718228867165038,0.07748706152961471,0.11874640598044853,,,,,,,,,,,,,,,
-1,1,1-47,Logit lens,actual_final_exit,148,True,0.05117883841288095,0.0359401955146636,0.06886141460609545,0.16618746405980447,0.14146060954571593,0.19249568717653825,0.33338125359401954,0.30304772857964346,0.3641460609545716,0.08993029460319282,0.07197230094215444,0.11011979303857895,2.6229283807511785,2.510643160779642,2.7320193084219895,8.408548355102539,8.104586122325948,8.71209231784215
-1,1,41-47,Local J-Lens,actual_current_exit,148,True,0.24131274131274116,0.19884169884169878,0.28571428571428553,0.45463320463320456,0.3996138996138997,0.5106177606177607,0.6496138996138996,0.5974903474903475,0.7017374517374517,0.3131661584462509,0.2674706031265734,0.3606192385767834,1.4736332334854716,1.3151105334569921,1.6302229076891481,2.8718724250793457,2.691573252921572,3.058148882064868
-1,1,41-47,Local J-Lens,actual_final_exit,148,True,0.12741312741312735,0.09749034749034746,0.16023166023166013,0.37355212355212347,0.3243243243243243,0.42374517374517373,0.6611969111969113,0.6110038610038611,0.7104247104247103,0.2112442580357256,0.17793894718817813,0.24612888358975515,1.5559143502513328,1.4292657893368585,1.6839018157452257,6.4083147048950195,5.926596582248003,6.872394366995305
-1,1,41-47,Final J-Lens,actual_current_exit,148,False,0.0,0.0,0.0,,,,,,,,,,,,,,,
-1,1,41-47,Final J-Lens,actual_final_exit,148,True,0.0019305019305019303,0.0,0.005791505791505791,0.016409266409266408,0.0028957528957528956,0.03474903474903475,0.08494208494208492,0.05019305019305019,0.12355212355212356,0.008836384865442354,0.003663526722734238,0.01579042261973708,3.0862898568517907,2.9617400050964497,3.2088276168268095,10.662026405334473,10.3525649064296,10.969787410062713
-1,1,41-47,Logit lens,actual_current_exit,148,False,0.3812741312741311,0.32239382239382225,0.44208494208494176,,,,,,,,,,,,,,,
-1,1,41-47,Logit lens,actual_final_exit,148,True,0.20173745173745175,0.15347490347490345,0.2538610038610038,0.503861003861004,0.444980694980695,0.5617760617760619,0.831081081081081,0.7866795366795367,0.8716216216216216,0.3084986160352419,0.2614770568275939,0.3582086601435231,1.0844793886879167,0.972181327095791,1.2007472183830972,4.6811842918396,4.28097242296019,5.09173345853499
-1,1,41-48,Local J-Lens,actual_current_exit,148,True,0.33614864864864863,0.29898648648648657,0.375,0.5228040540540541,0.4746621621621623,0.5717905405405406,0.6934121621621622,0.6478040540540541,0.7390202702702702,0.39902038864046957,0.35903677773575166,0.4405418337546855,1.2894290792997876,1.150721716774868,1.4264450442280046,2.512888193130493,2.3551266095626193,2.6758802482254205
-1,1,41-48,Local J-Lens,actual_final_exit,148,True,0.16807432432432431,0.13597972972972974,0.2010135135135136,0.43074324324324326,0.3842905405405405,0.477195945945946,0.6984797297297297,0.6528716216216217,0.7423986486486487,0.2583398650195184,0.22562447874527866,0.2917751769319707,1.4205723297914055,1.3065520280058773,1.53612152833601,6.085757255554199,5.6584680183111,6.499622537417186
-1,1,41-48,Final J-Lens,actual_current_exit,148,False,0.0,0.0,0.0,,,,,,,,,,,,,,,
-1,1,41-48,Final J-Lens,actual_final_exit,148,True,0.0033783783783783786,0.0,0.009290540540540541,0.016047297297297296,0.002533783783783784,0.03462837837837838,0.0785472972972973,0.045608108108108114,0.11486486486486487,0.009602680120793652,0.0033471821275015356,0.01809976294280478,3.1331909444831467,3.011679372175647,3.2527010090824104,10.885818481445312,10.579539590912896,11.19021594596876
-1,1,41-48,Logit lens,actual_current_exit,148,False,0.45861486486486486,0.4070945945945945,0.5118243243243241,,,,,,,,,,,,,,,
-1,1,41-48,Logit lens,actual_final_exit,148,True,0.23310810810810811,0.18496621621621626,0.2837837837837838,0.5447635135135135,0.4881756756756757,0.6005067567567567,0.8471283783783784,0.8057432432432432,0.8851351351351351,0.3434374282690951,0.29756417645377065,0.39083167397054824,1.0080667384234163,0.9024565643937768,1.1176041765362867,4.574518203735352,4.216691166477127,4.940722629458115
-1,1,48,Local J-Lens,actual_current_exit,148,True,1.0,1.0,1.000000000000001,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,1,48,Local J-Lens,actual_final_exit,148,True,0.4527027027027027,0.3716216216216215,0.5337837837837837,0.831081081081081,0.7702702702702702,0.8918918918918918,0.9594594594594594,0.9256756756756755,0.9864864864864864,0.5880091139060676,0.5236836621387742,0.6520674991642746,0.47317818657191413,0.3749533398339285,0.5780087805540208,3.8278543949127197,3.5072454521206766,4.149639551002789
-1,1,48,Final J-Lens,actual_current_exit,148,False,0.0,0.0,0.0,,,,,,,,,,,,,,,
-1,1,48,Final J-Lens,actual_final_exit,148,True,0.013513513513513514,0.0,0.033783783783783786,0.013513513513513514,0.0,0.033783783783783786,0.033783783783783786,0.006756756756756757,0.06756756756756757,0.014966746908252762,0.0010192149883651337,0.03536359634416439,3.4614985579026407,3.328263075629362,3.586041636288351,12.452354431152344,11.996201036910755,12.91067933246896
-1,1,48,Logit lens,actual_current_exit,148,False,1.0,1.0,1.000000000000001,,,,,,,,,,,,,,,
