criterion,task,stratum,n_items,loop,jlens_exit3_any_hit,jlens_exit3_any_hit_ci_low,jlens_exit3_any_hit_ci_high,jlens_exit3_any_control,jlens_exit3_any_control_ci_low,jlens_exit3_any_control_ci_high,jlens_exit3_any_excess,jlens_exit3_any_excess_ci_low,jlens_exit3_any_excess_ci_high,logitlens_any_hit,logitlens_any_hit_ci_low,logitlens_any_hit_ci_high,logitlens_any_control,logitlens_any_control_ci_low,logitlens_any_control_ci_high,logitlens_any_excess,logitlens_any_excess_ci_low,logitlens_any_excess_ci_high,difference,ci_low,ci_high,cluster_ci_low,cluster_ci_high
historical,multihop,passing,36,1,0.027777777777777776,0.0,0.08333333333333333,0.03140688642606801,0.024154589371980676,0.0398550724637681,-0.003629108648290234,-0.03864734299516906,0.057971014492753624,0.5,0.33333333333333337,0.6666666666666667,0.106771573363645,0.07568438003220612,0.13902031827223632,0.3932284266363551,0.24033816425120774,0.5420041204887752,-0.3968575352846454,-0.5600570119352088,-0.22438518281708852,-0.5691374965133318,-0.2200580055759084
historical,multihop,passing,36,2,0.05555555555555555,0.0,0.1388888888888889,0.04955834991001232,0.03099838969404186,0.07017263427109974,0.005997205645543246,-0.05797101449275362,0.09250970919768874,0.6944444444444444,0.5277777777777779,0.8333333333333336,0.09952519655205079,0.07045088566827697,0.12980945699535834,0.5949192478923937,0.4447582172965804,0.7336327495974233,-0.5889220422468503,-0.7374739509330301,-0.433023704650943,-0.7332428868286445,-0.42935734768215594
historical,multihop,passing,36,3,0.1388888888888889,0.027777777777777776,0.25,0.04958203087998484,0.03220611916264089,0.06903594771241829,0.08930685800890406,-0.01610305958132045,0.2145081462536705,0.75,0.6111111111111112,0.8888888888888891,0.09952519655205078,0.07094226579520697,0.12891328028796062,0.6504748034479495,0.5136876006441222,0.7761730960500137,-0.5611679454390451,-0.7218196457326892,-0.3852177465188975,-0.7175831202046039,-0.3801506109690258
historical,multihop,passing,36,4,0.75,0.6111111111111112,0.8888888888888891,0.09710973761485271,0.07094004570427204,0.12425996968835844,0.6528902623851475,0.5095708120204603,0.7834656507530544,0.7777777777777778,0.638888888888889,0.8888888888888892,0.09952519655205078,0.07165861513687599,0.1288244766505636,0.6782525812257273,0.5487095351425594,0.794913179643838,-0.02536231884057971,-0.13969404186795492,0.08816425120772947,-0.15652173913043468,0.09135375494071098
historical,multihop,failing,54,1,0.037037037037037035,0.0,0.09259259259259259,0.03063934613189616,0.022848189195162773,0.04001689242524707,0.00639769090514087,-0.034428961095818625,0.06413309005554729,0.42592592592592593,0.2962962962962963,0.5555555555555556,0.09116454763220933,0.06974501162134768,0.11365685072788939,0.3347613782937166,0.20794495364420673,0.4665696748331846,-0.3283636873885756,-0.46586052698051844,-0.19145600765001358,-0.4715092331700551,-0.19027127620746728
historical,multihop,failing,54,2,0.018518518518518517,0.0,0.05555555555555555,0.03757380568974772,0.020933977455716585,0.05555555555555555,-0.0190552871712292,-0.05018786902844874,0.024154589371980676,0.48148148148148145,0.35185185185185175,0.611111111111111,0.09490996990042684,0.07453297092024015,0.116101149493133,0.3865715115810546,0.2536920149065226,0.5194976971729395,-0.4056267987522839,-0.5377591269521483,-0.2737293097833746,-0.5559421811316444,-0.2694451024648398
historical,multihop,failing,54,3,0.14814814814814814,0.05555555555555555,0.24074074074074073,0.05161290968667131,0.03739619841495375,0.06667038817233335,0.09653523846147684,0.009558982580702624,0.1944916311334301,0.5,0.3703703703703703,0.6296296296296295,0.09976062191646677,0.07859040911290852,0.12188749583521247,0.40023937808353327,0.274516432531385,0.5260033677049062,-0.3037041396220565,-0.4268922597159132,-0.18428520081933797,-0.4402616162387319,-0.18353445663602042
historical,multihop,failing,54,4,0.4444444444444444,0.31481481481481477,0.5740740740740741,0.09327191832822246,0.07241734870216503,0.11472688890491188,0.35117252611622196,0.2233528589410624,0.48190813362381985,0.46913580246913583,0.339506172839506,0.5987654320987654,0.09893968162408573,0.07852994458653027,0.12023404868713165,0.3701961208450502,0.24581824260576443,0.4944529477977167,-0.01902359472882815,-0.11755259561103262,0.07787940860724284,-0.121507754266174,0.0796024586294302
historical,order-ops,passing,31,1,0.0967741935483871,0.0,0.22580645161290322,0.004962779156327543,0.0,0.01240694789081886,0.09181141439205955,-0.004962779156327543,0.21836228287841192,0.9354838709677419,0.8387096774193545,0.9999999999999998,0.6104218362282879,0.5483870967741935,0.672456575682382,0.3250620347394541,0.2084367245657568,0.42679900744416865,-0.23325062034739452,-0.3672456575682382,-0.08188585607940448,-0.41758241758241754,-0.04217798330701603
historical,order-ops,passing,31,2,0.6129032258064516,0.4516129032258063,0.7741935483870968,0.22084367245657568,0.17121588089330025,0.2704714640198511,0.3920595533498758,0.2183622828784119,0.5583126550868486,0.8064516129032258,0.6451612903225806,0.9354838709677418,0.6526054590570719,0.5905707196029776,0.7171215880893298,0.15384615384615385,0.014888337468982635,0.2803970223325062,0.23821339950372203,0.06699751861042182,0.41191066997518616,0.006993006993006978,0.4731934731934729
