task,virtual_index,loop,physical_layer_one_based,known_identity,mean,fit_sd,fit_min,fit_max,positive_fits,negative_fits,zero_fits,jlens_own_layer,raw_own_layer,jlens_control_layer,raw_control_layer,jlens_delta_layer,raw_delta_layer,crossed_fit_item_pointwise_low,crossed_fit_item_pointwise_high,crossed_fit_item_simultaneous_low,crossed_fit_item_simultaneous_high,conditional_item_pointwise_low,conditional_item_pointwise_high,conditional_item_simultaneous_low,conditional_item_simultaneous_high,conditional_fit_pointwise_low,conditional_fit_pointwise_high,conditional_fit_simultaneous_low,conditional_fit_simultaneous_high,crossed_fit_component_pointwise_low,crossed_fit_component_pointwise_high,crossed_fit_component_simultaneous_low,crossed_fit_component_simultaneous_high
multihop,0,1,1,False,-0.005884247418774274,0.00021604521521737083,-0.006270720848725965,-0.005787629061286352,0,5,0,0.0,0.022222222222222223,9.66183574879227e-05,0.01643459316093587,-9.66183574879227e-05,0.005787629061286352,-0.039700672539547226,0.018119115278961817,-0.23645698733799447,0.22468849250044592,-0.0396687979539642,0.01811911527896182,-0.2276037044323489,0.21583520959480035,-0.00607748413375012,-0.005787629061286352,-0.08944382509599899,0.07767533025845044,-0.04126675415000144,0.01851668566850522,-0.33505022849652,0.3232817336589714
multihop,1,1,2,False,-0.02202188121625462,0.00028806028695649343,-0.02253717912285687,-0.021893056739604056,0,5,0,0.0,0.044444444444444446,0.00012882447665056362,0.022551387704840394,-0.00012882447665056362,0.021893056739604056,-0.06842379463862841,0.014411776546367315,-0.2525946211354748,0.20855085870296558,-0.06839967557071139,0.014339632471346016,-0.24374133822982924,0.19969757579732,-0.022279530169555743,-0.021893056739604056,-0.10558145889347934,0.0615376964609701,-0.0680414957873721,0.014910818790431758,-0.35118786229400034,0.30714409986149105
multihop,2,1,3,False,-0.007244008714596952,0.0,-0.007244008714596952,-0.007244008714596952,0,5,0,0.0,0.011111111111111112,0.0,0.003867102396514162,0.0,0.007244008714596952,-0.031078904991948472,0.006119162640901772,-0.23781674863381716,0.22332873120462324,-0.031078904991948472,0.0061191626409017735,-0.22896346572817158,0.21447544829897766,-0.0072440087145969525,-0.007244008714596952,-0.09080358639182166,0.07631556896262777,-0.03393872683911209,0.006185931424531636,-0.33640998979234266,0.32192197236314873
multihop,3,1,4,False,0.00045088566827697265,0.000432090430434742,-0.00032206119162640903,0.0006441223832528181,4,1,0,0.0,0.0,0.0001932367149758454,0.0006441223832528181,-0.0001932367149758454,-0.0006441223832528181,-0.0005797101449275362,0.0019323671497584543,-0.23012185425094323,0.23102362558749717,-0.00032206119162640903,0.0018357487922705314,-0.22126857134529765,0.2221703426818516,6.441223832528184e-05,0.0006441223832528181,-0.08310869200894774,0.08401046334550169,-0.000521104054714216,0.002032924134373407,-0.32871509540946875,0.32961686674602264
multihop,4,1,5,False,-0.006468693757696315,7.201507173912336e-05,-0.006597518234346877,-0.006436487638533673,0,5,0,0.0,0.011111111111111112,3.2206119162640905e-05,0.004674623472577437,-3.2206119162640905e-05,0.006436487638533673,-0.029952318366960308,0.006602254428341384,-0.23704143367691652,0.22410404616152388,-0.029979219948849105,0.006574784503173251,-0.22818815077127094,0.2152507632558783,-0.006533105996021596,-0.006436487638533673,-0.09002827143492104,0.0770908839195284,-0.033806159420289854,0.00655308755274351,-0.335634674835442,0.3226972873200494
multihop,5,1,6,False,0.0044587237158905686,0.0001440301434782475,0.00420107476258944,0.00452313595421585,5,0,0,0.0,0.0,6.441223832528181e-05,0.00452313595421585,-6.441223832528181e-05,-0.00452313595421585,0.0030714924948997556,0.005843586839884125,-0.22611401620332963,0.23503146363511077,0.0030941555366107805,0.005848252344416028,-0.21726073329768406,0.2261781807294652,0.0043298992392400044,0.00452313595421585,-0.07910085396133415,0.08801830139311528,0.0031259150277567235,0.005789328820332748,-0.32470725736185513,0.33362470479363626
multihop,6,1,7,False,-0.00022544283413848632,0.0005413119585820164,-0.0011272141706924316,0.00016103059581320451,2,2,1,0.0,0.0,0.00038647342995169087,0.00016103059581320451,-0.00038647342995169087,-0.00016103059581320451,-0.0009661835748792271,0.00035426731078904995,-0.23079818275335867,0.23034729708508173,-0.0006119162640901771,0.00022544283413848632,-0.2219448998477131,0.22149401417943615,-0.0007085346215780999,0.00012882447665056362,-0.0837850205113632,0.08333413484308623,-0.0009661835748792271,0.0003391921060746222,-0.3293914239118842,0.3289405382436072
multihop,7,1,8,False,0.0016103059581320453,0.0052142592137494935,-0.002254428341384863,0.010789049919484702,1,2,2,0.0022222222222222222,0.0,0.0006119162640901771,0.0,0.0016103059581320453,0.0,-0.0015458937198067637,0.012657004830917876,-0.22896243396108815,0.23218304587735225,-0.0008373590982286636,0.006183574879227054,-0.22010915105544257,0.22332976297170667,-0.0013526570048309177,0.006376811594202898,-0.08194927171909266,0.08516988363535677,-0.001599288590998618,0.012241830127055446,-0.32755567511961364,0.33077628703587775
multihop,8,1,9,False,-0.011207729468599034,0.00021604521521737083,-0.011594202898550725,-0.011111111111111112,0,5,0,0.0,0.011111111111111112,9.66183574879227e-05,0.0,-9.66183574879227e-05,0.011111111111111112,-0.03352657004830918,0.0,-0.24178046938781922,0.21936501045062118,-0.03349436392914654,-3.2206119162640905e-05,-0.23292718648217364,0.2105117275449756,-0.01140096618357488,-0.011111111111111112,-0.09476730714582375,0.07235184820862568,-0.032320398940314785,0.0,-0.34037371054634474,0.31795825160914665
multihop,9,1,10,False,-0.00048309178743961384,0.0023529209655720547,-0.004669887278582932,0.0008051529790660225,4,1,0,0.0,0.0,0.0012882447665056363,0.0008051529790660225,-0.0012882447665056363,-0.0008051529790660225,-0.0029307568438003222,0.0011272141706924314,-0.2310558317066598,0.2300896481317806,-0.001320450885668277,0.00041867954911433157,-0.22220254880101423,0.22123636522613502,-0.0026086956521739137,0.0007085346215780999,-0.08404266946466434,0.0830764858897851,-0.0029997862668212118,0.001153186847436497,-0.3296490728651853,0.3286828892903061
multihop,10,1,11,False,-0.0007388462631429384,0.0012564155039836615,-0.002415458937198068,0.00048545988443686656,2,3,0,0.0,0.0,0.001224306147579805,0.00048545988443686656,-0.001224306147579805,-0.00048545988443686656,-0.002155441886899687,0.00048545988443686656,-0.23131158618236314,0.22983389365607726,-0.0014454982476082218,2.36809699725282e-06,-0.22245830327671756,0.22098061075043168,-0.0017055034574216161,0.00022781093113573934,-0.08429842394036766,0.08282073141408178,-0.00210290752456589,0.0004607758154437197,-0.3299048273408886,0.3284271348146028
multihop,11,1,12,False,-0.0008051529790660224,0.0014889888896060328,-0.0033816425120772944,0.00016103059581320451,1,2,2,0.0,0.0,0.000966183574879227,0.00016103059581320451,-0.000966183574879227,-0.00016103059581320451,-0.002415458937198068,0.00022544283413848632,-0.23137789289828622,0.22976758694015417,-0.001384863123993559,-0.00022544283413848627,-0.22252460999264065,0.2209143040345086,-0.00215780998389694,6.441223832528181e-05,-0.08436473065629074,0.08275442469815869,-0.0024743924283405026,0.000234268876837127,-0.3299711340568117,0.32836082809867967
multihop,12,1,13,False,-0.00045088566827697265,0.001554591740566463,-0.00322061191626409,0.00032206119162640903,3,1,1,0.0,0.0,0.0007729468599033817,0.00032206119162640903,-0.0007729468599033817,-0.00032206119162640903,-0.0022222222222222222,0.0006119162640901771,-0.23102362558749717,0.23012185425094323,-0.0010950080515297906,0.00022544283413848632,-0.2221703426818516,0.22126857134529765,-0.0018679549114331722,0.00032206119162640903,-0.08401046334550169,0.08310869200894774,-0.0022581732389619145,0.000637044115304985,-0.32961686674602264,0.32871509540946875
multihop,13,1,14,False,9.61447380884722e-05,0.0013208671057004934,-0.002254428341384863,0.0008051529790660225,4,1,0,0.0,0.0,0.0007090082409775503,0.0008051529790660225,-0.0007090082409775503,-0.0008051529790660225,-0.0016103059581320453,0.001416595623756749,-0.23047659518113173,0.23066888465730867,-0.0007738940987022829,0.0011594202898550722,-0.22162331227548615,0.2218156017516631,-0.001095481670929241,0.0007729468599033816,-0.08346343293913625,0.08365572241531319,-0.001646903820816864,0.001466325660699062,-0.3290698363396572,0.3292621258158342
multihop,14,1,15,False,0.00032158757222695844,0.0005588518258388162,-0.000646490480250071,0.0006441223832528181,4,1,0,0.0,0.0,0.00032253481102585956,0.0006441223832528181,-0.00032253481102585956,-0.0006441223832528181,-0.0005152979066022544,0.0011272141706924316,-0.23025115234699323,0.23089432749144717,-0.0002585961921000284,0.001030595813204509,-0.22139786944134765,0.2220410445858016,-0.0001946575731741972,0.0006441223832528181,-0.08323799010499776,0.08388116524945168,-0.000521431776371876,0.0011796607881565287,-0.32884439350551875,0.32948756864997264
multihop,15,1,16,False,-0.007085819835180451,0.004730110116347467,-0.010466988727858294,-0.0006441223832528188,0,5,0,0.0044444444444444444,0.011111111111111112,0.0010632755517666005,0.0006441223832528181,0.0033811688926778443,0.010466988727858294,-0.03307570806100218,0.012044141328028795,-0.23765855975440064,0.22348692008403975,-0.03169130671592309,0.00853462157809984,-0.22880527684875507,0.21463363717839418,-0.010466988727858294,-0.0031566732973382617,-0.09064539751240516,0.07647375784204427,-0.03411396574440054,0.012923705822982393,-0.33625180091292617,0.3220801612425652
multihop,16,1,17,False,-0.09677938808373591,0.0002789131735215572,-0.09726247987117552,-0.0966183574879227,0,5,0,0.0,0.1,0.00016103059581320451,0.003381642512077295,-0.00016103059581320451,0.0966183574879227,-0.16215780998389692,-0.04177053140096619,-0.3273521280029561,0.1337933518354843,-0.16215780998389692,-0.04173913043478262,-0.3184988450973105,0.12494006892983871,-0.09703703703703705,-0.0966183574879227,-0.18033896576096065,-0.013219810406511198,-0.16670912162966134,-0.0372307887556317,-0.4259453691614816,0.23238659299400977
multihop,17,1,18,False,-0.06431561996779388,0.0004910773166498213,-0.06505636070853463,-0.0639291465378422,0,5,0,0.0,0.06666666666666667,0.00038647342995169076,0.002737520128824476,-0.00038647342995169076,0.0639291465378422,-0.11935668276972627,-0.019742351046698872,-0.29488835988701406,0.16625711995142634,-0.11942109500805156,-0.01977375201288246,-0.2860350769813685,0.15740383704578076,-0.06473429951690822,-0.06396135265700484,-0.1478751976450186,0.01924395770943084,-0.1251491873572258,-0.011763303719657222,-0.3934816010455396,0.2648503611099518
multihop,18,1,19,False,-0.09587761674718195,8.82000897753849e-05,-0.09597423510466987,-0.09581320450885668,0,5,0,0.0,0.1,6.441223832528181e-05,0.004186795491143317,-6.441223832528181e-05,0.09581320450885668,-0.1617399355877617,-0.04074074074074074,-0.32645035666640215,0.13469512317203824,-0.16177214170692436,-0.04074074074074075,-0.3175970737607566,0.12584184026639267,-0.09594202898550724,-0.09581320450885668,-0.17943719442440667,-0.012318039069957237,-0.1702554347826087,-0.03202611657134397,-0.4250435978249276,0.23328836433056374
multihop,19,1,20,False,-0.13049919484702097,0.0014112014364062201,-0.13301127214170694,-0.12979066022544286,0,5,0,0.0,0.13333333333333333,0.0007085346215781,0.0035426731078904996,-0.0007085346215781,0.12979066022544286,-0.20692431561996782,-0.06428260869565218,-0.36107193476624116,0.10007354507219923,-0.20686151368760067,-0.06431561996779388,-0.3522186518605956,0.09122026216655366,-0.13178743961352657,-0.12979066022544286,-0.21405877252424568,-0.04693961716979625,-0.21254901102383214,-0.057625339991068926,-0.45966517592476663,0.19866678623072473
multihop,20,1,21,False,-0.15136876006441227,0.0003600753586956075,-0.15201288244766506,-0.15120772946859906,0,5,0,0.0,0.15555555555555556,0.00016103059581320451,0.004347826086956522,-0.00016103059581320451,0.15120772946859906,-0.2286634460547503,-0.08454025764895334,-0.38194149998363247,0.07920397985480793,-0.2285692431561997,-0.08466827697262483,-0.3730882170779869,0.07035069694916235,-0.15169082125603867,-0.15120772946859906,-0.234928337741637,-0.06780918238718756,-0.24047924354041642,-0.07604217554144282,-0.480534741142158,0.17779722101333342
multihop,21,1,22,False,-0.10573316283034953,0.002484765764247213,-0.10692431561996782,-0.10129061286350281,0,5,0,0.0022222222222222222,0.1111111111111111,0.0011921000284171644,0.004347826086956523,0.0010301221938050582,0.1067632850241546,-0.1737850359950744,-0.04495896087903761,-0.33630590274956973,0.12483957708887067,-0.17362445533769064,-0.04718162119920433,-0.32745261984392415,0.11598629418322509,-0.10689210950080517,-0.10351188784692618,-0.18929274050757425,-0.022173585153124814,-0.18456631500426257,-0.038025228250814495,-0.43489914390809525,0.22343281824739616
multihop,22,1,23,False,-0.10950080515297908,0.0006339780896949814,-0.1106280193236715,-0.10917874396135269,0,5,0,0.0,0.1111111111111111,0.00032206119162640903,0.001932367149758454,-0.00032206119162640903,0.10917874396135269,-0.17636151368760067,-0.053462157809983896,-0.3400735450721993,0.12107193476624112,-0.1763607085346216,-0.05355877616747183,-0.3312202621665537,0.11221865186059554,-0.1100805152979066,-0.10917874396135269,-0.1930603828302038,-0.025941227475754364,-0.18837215320910974,-0.04191824771768675,-0.43866678623072475,0.21966517592476661
multihop,23,1,24,False,-0.06666666666666668,0.001884814800437938,-0.06988727858293076,-0.06553945249597425,0,5,0,0.0,0.06666666666666667,0.0011272141706924316,0.0011272141706924316,-0.0011272141706924316,0.06553945249597425,-0.12238405797101451,-0.021256038647342997,-0.2972394065858869,0.16390607325255352,-0.1224484702093398,-0.021674718196457325,-0.2883861236802413,0.15505279034690794,-0.06840579710144928,-0.06553945249597425,-0.1502262443438914,0.016892911010558037,-0.1290407933288258,-0.012477641211718566,-0.3958326477444124,0.262499314411079
multihop,24,1,25,False,-0.09809747087240694,0.0016865985150114188,-0.10015866249881597,-0.09661598939092547,0,5,0,0.0,0.1,0.0014814814814814816,0.003384010609074548,-0.0014814814814814816,0.09661598939092547,-0.16447826086956524,-0.04209333854314674,-0.32867021079162717,0.13247526904681325,-0.16457401487164913,-0.04218758880363741,-0.3198169278859816,0.12362198614116768,-0.09938571563891259,-0.09680922610590133,-0.18165704854963166,-0.014537893195182228,-0.17419745023613312,-0.03223741051738205,-0.42726345195015264,0.23106851020533875
