task,fit_id,metric,value,sign
multihop,4,loop2_any_layer,-0.45671313085043663,negative
multihop,5,loop2_any_layer,-0.4427105733056797,negative
multihop,1,loop3_any_layer,-0.39413637976641375,negative
multihop,2,loop3_any_layer,-0.3926918405980894,negative
multihop,3,loop3_any_layer,-0.4107177949411793,negative
multihop,4,loop3_any_layer,-0.4065404718380249,negative
multihop,5,loop3_any_layer,-0.4200646737893368,negative
multihop,1,loop4_any_layer,-0.053921497937988366,negative
multihop,2,loop4_any_layer,-0.0441081039813719,negative
multihop,3,loop4_any_layer,-0.05521211080149126,negative
multihop,4,loop4_any_layer,-0.05425303151760379,negative
multihop,5,loop4_any_layer,-0.042656460522055815,negative
multihop,1,loop1_depth_slope,-0.11951341680229664,negative
multihop,2,loop1_depth_slope,-0.12002037079162188,negative
multihop,3,loop1_depth_slope,-0.11231387031703598,negative
multihop,4,loop1_depth_slope,-0.1108569046805398,negative
multihop,5,loop1_depth_slope,-0.13180179833848601,negative
multihop,1,loop2_depth_slope,-0.1870982352671402,negative
multihop,2,loop2_depth_slope,-0.17621400234691906,negative
multihop,3,loop2_depth_slope,-0.18192735048810785,negative
multihop,4,loop2_depth_slope,-0.1785263584487801,negative
multihop,5,loop2_depth_slope,-0.17879630338327554,negative
multihop,1,loop3_depth_slope,-0.14185350035897257,negative
multihop,2,loop3_depth_slope,-0.1396225916821412,negative
multihop,3,loop3_depth_slope,-0.14496061962170403,negative
multihop,4,loop3_depth_slope,-0.13035750577179459,negative
multihop,5,loop3_depth_slope,-0.14516571157268152,negative
multihop,1,loop4_depth_slope,0.13776716036475875,positive
multihop,2,loop4_depth_slope,0.14121074469877365,positive
multihop,3,loop4_depth_slope,0.1411556656154423,positive
multihop,4,loop4_depth_slope,0.15704015734565518,positive
multihop,5,loop4_depth_slope,0.14515360023164214,positive
order-ops,1,loop1_early_mean,0.0008484162895927591,positive
order-ops,2,loop1_early_mean,0.0007541478129713413,positive
order-ops,3,loop1_early_mean,0.0008484162895927591,positive
order-ops,4,loop1_early_mean,0.0008484162895927591,positive
order-ops,5,loop1_early_mean,0.00018853695324283785,positive
order-ops,1,loop1_middle_mean,-0.36283936651583715,negative
order-ops,2,loop1_middle_mean,-0.31627073906485675,negative
order-ops,3,loop1_middle_mean,-0.34822775263951733,negative
order-ops,4,loop1_middle_mean,-0.3611425339366516,negative
order-ops,5,loop1_middle_mean,-0.32418929110105577,negative
order-ops,1,loop1_final_third_mean,-0.3401206636500755,negative
order-ops,2,loop1_final_third_mean,-0.3317307692307693,negative
order-ops,3,loop1_final_third_mean,-0.3128770739064856,negative
order-ops,4,loop1_final_third_mean,-0.3224924585218703,negative
order-ops,5,loop1_final_third_mean,-0.2172888386123681,negative
order-ops,1,loop1_historical_local_mean,-0.40887380593262934,negative
order-ops,2,loop1_historical_local_mean,-0.358974358974359,negative
order-ops,3,loop1_historical_local_mean,-0.3832327802916037,negative
order-ops,4,loop1_historical_local_mean,-0.39831573655103064,negative
order-ops,5,loop1_historical_local_mean,-0.297008547008547,negative
order-ops,1,loop1_full_loop_mean,-0.23403720462543995,negative
order-ops,2,loop1_full_loop_mean,-0.21574912016088493,negative
order-ops,3,loop1_full_loop_mean,-0.2200854700854701,negative
order-ops,4,loop1_full_loop_mean,-0.2275955253896431,negative
order-ops,5,loop1_full_loop_mean,-0.1804298642533937,negative
order-ops,1,loop2_early_mean,-0.0993589743589744,negative
order-ops,2,loop2_early_mean,-0.04967948717948718,negative
order-ops,3,loop2_early_mean,-0.022718702865761692,negative
order-ops,4,loop2_early_mean,-0.06466817496229262,negative
order-ops,5,loop2_early_mean,-0.05995475113122174,negative
order-ops,1,loop2_middle_mean,0.04449472096530919,positive
order-ops,2,loop2_middle_mean,0.03685897435897435,positive
order-ops,3,loop2_middle_mean,0.06825037707390648,positive
order-ops,4,loop2_middle_mean,0.05599547511312215,positive
order-ops,5,loop2_middle_mean,0.019513574660633488,positive
order-ops,1,loop2_final_third_mean,0.0677790346907994,positive
order-ops,2,loop2_final_third_mean,0.07334087481146305,positive
order-ops,3,loop2_final_third_mean,0.1028469079939668,positive
order-ops,4,loop2_final_third_mean,0.04892533936651585,positive
order-ops,5,loop2_final_third_mean,0.08691553544494722,positive
order-ops,1,loop2_historical_local_mean,0.12833081950729008,positive
order-ops,2,loop2_historical_local_mean,0.13863750628456512,positive
order-ops,3,loop2_historical_local_mean,0.1679235796882855,positive
order-ops,4,loop2_historical_local_mean,0.11538461538461538,positive
order-ops,5,loop2_historical_local_mean,0.11965811965811964,positive
order-ops,1,loop2_full_loop_mean,0.004304927099044742,positive
order-ops,2,loop2_full_loop_mean,0.02017345399698339,positive
order-ops,3,loop2_full_loop_mean,0.04945952740070387,positive
order-ops,4,loop2_full_loop_mean,0.013417546505781785,positive
order-ops,5,loop2_full_loop_mean,0.01549145299145298,positive
order-ops,1,loop3_early_mean,0.09558823529411768,positive
order-ops,2,loop3_early_mean,0.0915346907993967,positive
order-ops,3,loop3_early_mean,0.11133107088989443,positive
order-ops,4,loop3_early_mean,0.11076546003016592,positive
order-ops,5,loop3_early_mean,0.0951168929110106,positive
order-ops,1,loop3_middle_mean,0.08116515837104071,positive
order-ops,2,loop3_middle_mean,0.07117269984917042,positive
order-ops,3,loop3_middle_mean,0.11896681749622928,positive
order-ops,4,loop3_middle_mean,0.10407239819004523,positive
order-ops,5,loop3_middle_mean,0.09068627450980393,positive
order-ops,1,loop3_final_third_mean,-0.09879336349924586,negative
order-ops,2,loop3_final_third_mean,-0.11038838612368021,negative
order-ops,3,loop3_final_third_mean,-0.10030165912518854,negative
order-ops,4,loop3_final_third_mean,-0.08710407239819005,negative
order-ops,5,loop3_final_third_mean,-0.08078808446455504,negative
order-ops,1,loop3_historical_local_mean,0.0485168426344897,positive
order-ops,2,loop3_historical_local_mean,0.04575163398692809,positive
order-ops,3,loop3_historical_local_mean,0.06762192056309702,positive
order-ops,4,loop3_historical_local_mean,0.0796882855706385,positive
order-ops,5,loop3_historical_local_mean,0.07792860734037205,positive
order-ops,1,loop3_full_loop_mean,0.02598667672197081,positive
order-ops,2,loop3_full_loop_mean,0.017439668174962272,positive
order-ops,3,loop3_full_loop_mean,0.04333207642031168,positive
order-ops,4,loop3_full_loop_mean,0.04257792860734035,positive
order-ops,5,loop3_full_loop_mean,0.03500502765208644,positive
order-ops,1,loop4_early_mean,0.011689291101055802,positive
order-ops,2,loop4_early_mean,0.01706259426847661,positive
order-ops,3,loop4_early_mean,0.018476621417797885,positive
order-ops,4,loop4_early_mean,0.028469079939668174,positive
order-ops,5,loop4_early_mean,0.024321266968325785,positive
order-ops,1,loop4_middle_mean,0.054864253393665144,positive
order-ops,2,loop4_middle_mean,0.06080316742081449,positive
order-ops,3,loop4_middle_mean,0.0693815987933635,positive
order-ops,4,loop4_middle_mean,0.05920060331825038,positive
order-ops,5,loop4_middle_mean,0.058540723981900446,positive
order-ops,1,loop4_final_third_mean,-0.06014328808446455,negative
order-ops,2,loop4_final_third_mean,-0.06438536953242835,negative
order-ops,3,loop4_final_third_mean,-0.060331825037707405,negative
order-ops,4,loop4_final_third_mean,-0.0625942684766214,negative
order-ops,5,loop4_final_third_mean,-0.06551659125188539,negative
order-ops,1,loop4_historical_local_mean,0.08207642031171443,positive
order-ops,2,loop4_historical_local_mean,0.08220211161387632,positive
order-ops,3,loop4_historical_local_mean,0.09451985922574158,positive
order-ops,4,loop4_historical_local_mean,0.09012066365007541,positive
order-ops,5,loop4_historical_local_mean,0.0849673202614379,positive
order-ops,1,loop4_full_loop_mean,0.002136752136752138,positive
order-ops,2,loop4_full_loop_mean,0.004493464052287586,positive
order-ops,3,loop4_full_loop_mean,0.009175465057818006,positive
order-ops,4,loop4_full_loop_mean,0.008358471593765722,positive
order-ops,5,loop4_full_loop_mean,0.005781799899446967,positive
order-ops,1,loop1_any_layer,-0.2684766214177979,negative
order-ops,2,loop1_any_layer,-0.12518853695324283,negative
order-ops,3,loop1_any_layer,-0.08597285067873305,negative
order-ops,4,loop1_any_layer,-0.11010558069381599,negative
order-ops,5,loop1_any_layer,-0.09351432880844646,negative
order-ops,1,loop2_any_layer,0.13273001508295626,positive
order-ops,2,loop2_any_layer,0.1478129713423831,positive
order-ops,3,loop2_any_layer,0.10105580693815987,positive
order-ops,4,loop2_any_layer,0.12368024132730017,positive
order-ops,5,loop2_any_layer,0.0769230769230769,positive
order-ops,1,loop3_any_layer,0.06033182503770738,positive
order-ops,2,loop3_any_layer,0.0618401206636501,positive
order-ops,3,loop3_any_layer,0.048265460030165935,positive
order-ops,4,loop3_any_layer,0.07088989441930621,positive
order-ops,5,loop3_any_layer,0.05429864253393663,positive
order-ops,1,loop4_any_layer,-0.03318250377073907,negative
order-ops,2,loop4_any_layer,-0.03619909502262444,negative
order-ops,3,loop4_any_layer,-0.03619909502262444,negative
order-ops,4,loop4_any_layer,-0.037707390648567124,negative
