loop,physical_layer,probe,logit_lens,j_lens,logit_lens_one_form,j_lens_one_form
1,1,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555
1,2,0.0,0.0,0.043402777777777776,0.0,0.041666666666666664
1,3,0.0,0.0,0.0,0.0,0.050347222222222224
1,4,0.0,0.0,0.0,0.0,0.020833333333333332
1,5,0.0,0.05555555555555555,0.0,0.027777777777777776,0.08333333333333333
1,6,0.0,0.03125,0.08333333333333333,0.015625,0.08333333333333333
1,7,0.0,0.05555555555555555,0.0,0.057291666666666664,0.09722222222222222
1,8,0.0,0.05555555555555555,0.0,0.057291666666666664,0.08333333333333333
1,9,0.0,0.125,0.012152777777777778,0.08333333333333333,0.06944444444444445
1,10,0.0,0.125,0.06944444444444445,0.0642361111111111,0.06944444444444445
1,11,0.0,0.11458333333333333,0.06944444444444445,0.125,0.06944444444444445
1,12,0.0,0.06597222222222222,0.0,0.1111111111111111,0.06944444444444445
1,13,0.0,0.0625,0.0,0.09375,0.06944444444444445
1,14,0.0,0.08680555555555555,0.0,0.0763888888888889,0.078125
1,15,0.0,0.0642361111111111,0.08333333333333333,0.0642361111111111,0.08159722222222222
1,16,0.0,0.034722222222222224,0.05381944444444445,0.06076388888888889,0.08506944444444445
1,17,0.0,0.078125,0.07291666666666667,0.04861111111111111,0.09375
1,18,0.0,0.022569444444444444,0.08854166666666667,0.03298611111111111,0.07118055555555555
1,19,0.0,0.2065972222222222,0.09722222222222222,0.2065972222222222,0.03993055555555555
1,20,0.14583333333333334,0.6423611111111112,0.0,0.6267361111111112,0.08680555555555555
1,21,0.3003472222222222,0.7291666666666666,0.0,0.7482638888888888,0.020833333333333332
1,22,0.3229166666666667,0.734375,0.0,0.7100694444444444,0.0642361111111111
1,23,0.3628472222222222,0.7899305555555556,0.06597222222222222,0.7899305555555556,0.08333333333333333
1,24,0.4427083333333333,0.7743055555555556,0.043402777777777776,0.78125,0.06944444444444445
1,25,0.5763888888888888,0.8159722222222222,0.265625,0.8177083333333334,0.1284722222222222
1,26,0.6267361111111112,0.7795138888888888,0.2777777777777778,0.7795138888888888,0.3020833333333333
1,27,0.5920138888888888,0.6944444444444444,0.4305555555555556,0.6892361111111112,0.1996527777777778
1,28,0.6006944444444444,0.7586805555555556,0.10590277777777778,0.7482638888888888,0.07118055555555555
1,29,0.5798611111111112,0.8038194444444444,0.296875,0.796875,0.3454861111111111
1,30,0.5920138888888888,0.8038194444444444,0.28125,0.8020833333333334,0.3038194444444444
